# /picar04/motor_node/car_cmd/header/stamp, /picar04/vel_des/velocity, /picar04/motor_node/car_cmd/header/stamp, /picar04/velocity_estimation_node/velocity_estimated/data
1580136939.0282890797, 0, 1580136939.0279350281, -0.00036284002231384468971
1580136939.0374779701, 0, 1580136939.0371739864, -0.00036941769958860138159
1580136939.0504000187, 0, 1580136939.05012393, -0.00038207745089487870661
1580136939.0588159561, 0, 1580136939.058218956, -0.00039739258727906890106
1580136939.0675361156, 0, 1580136939.0673561096, -0.00041287428235649206026
1580136939.0773820877, 0, 1580136939.0770249367, -0.00043156252135405744541
1580136939.0875029564, 0, 1580136939.0870530605, -0.00044235593867959674104
1580136939.0976250172, 0, 1580136939.0971460342, -0.00044581515522385033396
1580136939.1133649349, 0, 1580136939.1131439209, -0.00046130074870744943675
1580136939.1177480221, 0, 1580136939.1172370911, -0.00052092998718315330995
1580136939.1244859695, 0, 1580136939.1242809296, -0.00051802285879076986983
1580136939.1277461052, 0, 1580136939.1274409294, -0.00050872944944051516018
1580136939.1375010014, 0, 1580136939.1371190548, -0.00048503445066708873517
1580136939.1472280025, 0, 1580136939.1469650269, -0.0004539479706256668726
1580136939.1601231098, 0, 1580136939.159940958, -0.00041123989343972209122
1580136939.1678190231, 0, 1580136939.1676120758, -0.00035715694432373630693
1580136939.1781930923, 0, 1580136939.1778049469, -0.00029440138736895122206
1580136939.1873459816, 0, 1580136939.1871550083, -0.00022758819935674807285
1580136939.1995379925, 0, 1580136939.1993370056, -0.00014831530223062246512
1580136939.21332407, 0, 1580136939.2131049633, -7.1304315761053853567e-5
1580136939.217427969, 0, 1580136939.2170701027, -5.6089753615511030605e-5
1580136939.226444006, 0, 1580136939.2262690067, -3.9793417241515714527e-5
1580136939.2282109261, 0, 1580136939.2278950214, -1.9052684443247229571e-5
1580136939.237555027, 0, 1580136939.2373449802, 1.214475387352207048e-6
1580136939.2493131161, 0, 1580136939.2488729954, 2.3388058097701830846e-5
1580136939.2574520111, 0, 1580136939.2571499348, 4.0735462564862941095e-5
1580136939.267676115, 0, 1580136939.2675011158, 4.9986293529410520469e-5
1580136939.2797579765, 0, 1580136939.2793109417, 5.8180258766529364934e-5
1580136939.2873520851, 0, 1580136939.2871739864, 6.3317569920811841468e-5
1580136939.2988080978, 0, 1580136939.2985959053, 7.0722671387784727913e-5
1580136939.3074119091, 0, 1580136939.3071920872, 7.5775757563767128042e-5
1580136939.3172299862, 0, 1580136939.317043066, 8.1409469420421620841e-5
1580136939.331248045, 0, 1580136939.3306519985, 7.8799682534990821842e-5
1580136939.3321108818, 0, 1580136939.3319630623, 7.4099774445724885148e-5
1580136939.3408610821, 0, 1580136939.3406660557, 6.05880786275569223e-5
1580136939.3484768867, 0, 1580136939.3481760025, 4.4287076691613303664e-5
1580136939.3578629494, 0, 1580136939.357640028, 2.2026672423769022032e-5
1580136939.3673069477, 0, 1580136939.3669888973, -7.3679860583516724592e-6
1580136939.3780539036, 0, 1580136939.3776009083, -4.3209845304354046287e-5
1580136939.3877151012, 0, 1580136939.3875370026, -8.089094833982068695e-5
1580136939.3972160816, 0, 1580136939.3970389366, -0.00012252529131908106467
1580136939.4093899727, 0, 1580136939.4090850353, -0.00017488693557440404634
1580136939.4172439575, 0, 1580136939.4169979095, -0.00023053548408169308019
1580136939.4282829762, 0, 1580136939.4279689789, -0.00029560900023036933452
1580136939.4312229156, 0, 1580136939.43085289, -0.0003026704439930264271
1580136939.437912941, 0, 1580136939.4373960495, -0.00031951445780881783691
1580136939.4473030567, 0, 1580136939.4471459389, -0.00033128045813597944286
1580136939.460187912, 0, 1580136939.4599950314, -0.0003363271678834454069
1580136939.4705770016, 0, 1580136939.4703838825, -0.00033442337349164010137
1580136939.479583025, 0, 1580136939.4793980122, -0.00033123465020826593861
1580136939.4937989712, 0, 1580136939.4933259487, -0.00031829881337089050439
1580136939.499423027, 0, 1580136939.4991960526, -0.00029781620338651006294
1580136939.5109760761, 0, 1580136939.5106570721, -0.00027715600473211582291
1580136939.5195569992, 0, 1580136939.5193359852, -0.00024875062804076658422
1580136939.5319919586, 0, 1580136939.5317909718, -0.00026921721955180905961
1580136939.5349318981, 0, 1580136939.5347409248, -0.00025323220932167651897
1580136939.5398230553, 0, 1580136939.5394260883, -0.00023035003162228626658
1580136939.5496299267, 0, 1580136939.5492920876, -0.00020963538634271414889
1580136939.5627839565, 0, 1580136939.5625030994, -0.00018040964934215613551
1580136939.5699899197, 0, 1580136939.5695610046, -0.00014320400795804786925
1580136939.5803170204, 0, 1580136939.5799629688, -0.0001042021785340305662
1580136939.5946989059, 0, 1580136939.5942690372, -5.3644065494165419413e-5
1580136939.5995368958, 0, 1580136939.5992980003, -5.0833883724056183136e-7
1580136939.6126561165, 0, 1580136939.612459898, 6.7622018035400711976e-5
1580136939.6208209991, 0, 1580136939.6203598976, 0.00012898231476821827809
1580136939.6301970482, 0, 1580136939.629981041, 0.00016254937254851103447
1580136939.6372990608, 0, 1580136939.6370360851, 0.00016859846402819905851
1580136939.6392710209, 0, 1580136939.639113903, 0.00017786495097799840531
1580136939.6507740021, 0, 1580136939.6505930424, 0.00019029826935237448369
1580136939.6629910469, 0, 1580136939.6627941132, 0.00020046588590086784074
1580136939.6717979908, 0, 1580136939.6714019775, 0.00020925749791458704888
1580136939.6793329716, 0, 1580136939.6791539192, 0.00021950553811019693821
1580136939.6899518967, 0, 1580136939.6897559166, 0.00022985497473858049829
1580136939.6999189854, 0, 1580136939.6996870041, 0.00023605829637553309239
